library-id,specimen_id,sample_id,Phenotype,Aligned,Dedup,Coverage,Pheno,Path,NewPheno,NewPhenotype,Group,library_id,Lineage
616648,SFLc0046,614643,SSS,185991124,155167196,32.3965,0,/home/maccamp/barra-lh/data/bams/616648.sort.flt.bam,0,SSS,Burdekin,NA,Australasian
616650,SFLc0054,614645,SFF,167243534,139087607,29.7658,1,/home/maccamp/barra-lh/data/bams/616650.sort.flt.bam,1,SFF,Burdekin,NA,Australasian
616652,SFLc0072,614647,SFF,210526832,170918488,36.2218,1,/home/maccamp/barra-lh/data/bams/616652.sort.flt.bam,1,SFF,Burdekin,NA,Australasian
616654,SFLc0096,614649,SFF,190995203,159935285,33.8909,1,/home/maccamp/barra-lh/data/bams/616654.sort.flt.bam,1,SFF,Burdekin,NA,Australasian
616656,SFLc0145,614651,SFF,159830993,129163492,27.7479,1,/home/maccamp/barra-lh/data/bams/616656.sort.flt.bam,1,SFF,Burdekin,NA,Australasian
616657,SFLc0228,614652,SSS,178240014,138877360,29.4159,0,/home/maccamp/barra-lh/data/bams/616657.sort.flt.bam,0,SSS,Burdekin,NA,Australasian
616658,SFLc0229,614653,SSS,171885622,138691080,29.7503,0,/home/maccamp/barra-lh/data/bams/616658.sort.flt.bam,0,SSS,Burdekin,NA,Australasian
616659,SFLc0237,614654,SFF,191642860,147668788,31.5247,1,/home/maccamp/barra-lh/data/bams/616659.sort.flt.bam,1,SFF,Burdekin,NA,Australasian
616660,SFLc0249,614655,SSS,216192482,172708417,36.8904,0,/home/maccamp/barra-lh/data/bams/616660.sort.flt.bam,0,SSS,Burdekin,NA,Australasian
616661,SFLc0280,614656,SFF,180237631,135408280,29.0651,1,/home/maccamp/barra-lh/data/bams/616661.sort.flt.bam,1,SFF,Burdekin,NA,Australasian
616662,SFLc0282,614657,SFF,198539966,162019832,34.398,1,/home/maccamp/barra-lh/data/bams/616662.sort.flt.bam,1,SFF,Burdekin,NA,Australasian
616664,SFLc0293,614659,SFF,188080102,150177170,31.7429,1,/home/maccamp/barra-lh/data/bams/616664.sort.flt.bam,1,SFF,Burdekin,NA,Australasian
616665,SFLc0312,614660,SSS,212278899,170709619,36.4801,0,/home/maccamp/barra-lh/data/bams/616665.sort.flt.bam,0,SSS,Burdekin,NA,Australasian
616667,SFLc0356,614662,SFF,201332398,158716617,33.4871,1,/home/maccamp/barra-lh/data/bams/616667.sort.flt.bam,1,SFF,Burdekin,NA,Australasian
616668,SFLc0383,614663,SSS,149351908,121806726,26.0228,0,/home/maccamp/barra-lh/data/bams/616668.sort.flt.bam,0,SSS,Burdekin,NA,Australasian
616669,SFLc0398,614664,SSS,154313548,126241085,26.8703,0,/home/maccamp/barra-lh/data/bams/616669.sort.flt.bam,0,SSS,Burdekin,NA,Australasian
616670,SFLc0403,614665,SFF,191398830,155479462,33.0894,1,/home/maccamp/barra-lh/data/bams/616670.sort.flt.bam,1,SFF,Burdekin,NA,Australasian
616671,SFLc0406,614666,SSS,168424484,136542682,28.888,0,/home/maccamp/barra-lh/data/bams/616671.sort.flt.bam,0,SSS,Burdekin,NA,Australasian
616672,SFLc0423,614667,SSS,164739004,130650421,27.9127,0,/home/maccamp/barra-lh/data/bams/616672.sort.flt.bam,0,SSS,Burdekin,NA,Australasian
616673,SFLc0427,614668,SSS,151791417,120510330,25.6563,0,/home/maccamp/barra-lh/data/bams/616673.sort.flt.bam,1,SFF,Burdekin,NA,Australasian
616674,SFLc0428,614669,SFF,189723372,151466984,32.2966,1,/home/maccamp/barra-lh/data/bams/616674.sort.flt.bam,1,SFF,Burdekin,NA,Australasian
616675,SFLc0431,614670,SFF,149547377,124207743,26.4591,1,/home/maccamp/barra-lh/data/bams/616675.sort.flt.bam,1,SFF,Burdekin,NA,Australasian
616676,SFLc0435,614671,SFF,175118402,143920804,30.5561,1,/home/maccamp/barra-lh/data/bams/616676.sort.flt.bam,1,SFF,Burdekin,NA,Australasian
616677,SFLc0444,614672,SSS,144770327,116648866,24.6767,0,/home/maccamp/barra-lh/data/bams/616677.sort.flt.bam,0,SSS,Burdekin,NA,Australasian
616678,SFLc0468,614673,SFF,239571616,197401929,41.6334,1,/home/maccamp/barra-lh/data/bams/616678.sort.flt.bam,1,SFF,Burdekin,NA,Australasian
616679,SFLc0496,614674,SSS,164036190,132669582,28.1303,0,/home/maccamp/barra-lh/data/bams/616679.sort.flt.bam,0,SSS,Burdekin,NA,Australasian
